date_time,movie_id,box_office,attendees
2024-07-06,641,0.0,0
2024-07-06,487,0.0,0
2024-07-06,400,0.0,0
2024-07-06,353,0.0,0
2024-07-06,935,0.0,0
2024-07-06,50,0.0,0
2024-07-06,226,0.0,0
2024-07-06,952,0.0,0
2024-07-07,94,11188.75,2657333
2024-07-07,524,2001.24,492139
2024-07-07,774,1214.79,299568
2024-07-07,648,1084.03,281456
2024-07-07,1525,609.51,150239
2024-07-07,733,501.84,123177
2024-07-07,1116,432.41,100983
2024-07-07,496,407.56,101881
2024-07-07,1150,165.7,45392
2024-07-07,1092,122.68,32655
2024-07-07,357,114.54,29729
2024-07-07,855,63.12,14960
2024-07-07,530,56.68,11524
2024-07-07,1337,31.73,7409
2024-07-07,844,27.4,9434
2024-07-07,116,24.2,5975
2024-07-07,779,19.57,4608
2024-07-07,1153,19.36,3277
2024-07-07,1509,17.83,3845
2024-07-07,942,17.36,4720
2024-07-07,1550,12.25,2746
2024-07-07,1024,11.59,2976
2024-07-07,1101,10.86,2270
2024-07-07,1314,10.3,2363
2024-07-07,320,8.07,1881
2024-07-07,752,7.46,2154
2024-07-07,1062,7.35,1602
2024-07-07,921,5.13,1313
2024-07-07,719,4.89,1151
2024-07-07,1286,4.28,1383
2024-07-07,1093,3.45,884
2024-07-07,1449,3.35,912
2024-07-07,187,3.3,826
2024-07-07,1357,3.25,923
2024-07-07,973,2.67,709
2024-07-07,598,2.63,483
2024-07-07,1545,2.49,542
2024-07-07,1261,2.04,580
2024-07-07,1436,1.94,640
2024-07-07,23,1.7,378
2024-07-07,419,1.58,400
2024-07-07,1370,1.48,640
2024-07-07,1002,1.33,310
2024-07-07,707,1.23,292
2024-07-07,796,1.14,265
2024-07-07,36,1.11,290
2024-07-07,899,1.11,317
2024-07-07,966,1.09,342
2024-07-07,256,1.08,287
2024-07-07,492,0.94,306
2024-07-07,254,0.92,289
2024-07-07,1020,0.91,425
2024-07-07,397,0.9,302
2024-07-07,77,0.88,190
2024-07-07,876,0.7,164
2024-07-07,215,0.62,210
2024-07-07,721,0.59,189
2024-07-07,1096,0.57,168
2024-07-07,1290,0.54,206
2024-07-07,800,0.47,108
2024-07-07,317,0.43,127
2024-07-07,1283,0.41,161
2024-07-07,913,0.35,100
